Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
1-SYBR,EF1alpha,BRA20_35dpe_244,,0.96250,-0.05514,0.30094,0.30094,,0.17375,0.17375,,,,,,,,,,,,,,,,,,,,,,3,15.85,0.45771,0.26426,
10-SYBR,EF1alpha,BRA20_35dpe_2681,,0.75951,-0.39686,0.05156,0.05156,,0.03646,0.03646,,,,,,,,,,,,,,,,,,,,,,2,16.19,0.09938,0.07027,
10-SYBR,EF1alpha,BRA20_35dpe_2686,,0.82077,-0.28496,0.10957,0.10957,,0.06326,0.06326,,,,,,,,,,,,,,,,,,,,,,3,16.08,0.19543,0.11283,
10-SYBR,EF1alpha,BRA20_35dpe_2688,,0.63669,-0.65133,0.13531,0.13531,,0.07812,0.07812,,,,,,,,,,,,,,,,,,,,,,3,16.45,0.31112,0.17962,
2-SYBR,EF1alpha,BRA20_35dpe_97,,0.38376,-1.38173,0.14828,0.14828,,0.08561,0.08561,,,,,,,,,,,,,,,,,,,,,,3,17.19,0.56564,0.32657,
1-SYBR,EF1alpha,BRA20_male_227,,0.81208,-0.30030,0.06157,0.06157,,0.03555,0.03555,,,,,,,,,,,,,,,,,,,,,,3,16.10,0.11099,0.06408,
1-SYBR,EF1alpha,BRA20_male_245,,0.91592,-0.12671,0.52192,0.52192,,0.30133,0.30133,,,,,,,,,,,,,,,,,,,,,,3,15.92,0.83419,0.48162,
2-SYBR,EF1alpha,BRA20_male_93,,0.51011,-0.97111,0.16048,0.16048,,0.09265,0.09265,,,,,,,,,,,,,,,,,,,,,,3,16.78,0.46053,0.26589,
2-SYBR,EF1alpha,MO190_14dpe_1923,,0.48477,-1.04463,0.18817,0.18817,,0.10864,0.10864,,,,,,,,,,,,,,,,,,,,,,3,16.85,0.56823,0.32807,
10-SYBR,EF1alpha,MO190_14dpe_2687,,0.74726,-0.42031,0.07520,0.07520,,0.04342,0.04342,,,,,,,,,,,,,,,,,,,,,,3,16.22,0.14732,0.08505,
2-SYBR,EF1alpha,MO190_14dpe_95,,0.59549,-0.74786,0.29445,0.29445,,0.17000,0.17000,,,,,,,,,,,,,,,,,,,,,,3,16.55,0.72386,0.41792,
10-SYBR,EF1alpha,MO190_25dpe_2677,,0.41481,-1.26947,0.01742,0.01742,,0.01232,0.01232,,,,,,,,,,,,,,,,,,,,,,2,17.08,0.06148,0.04347,
10-SYBR,EF1alpha,MO190_25dpe_2690,,0.82785,-0.27255,0.07551,0.07551,,0.04359,0.04359,,,,,,,,,,,,,,,,,,,,,,3,16.07,0.13352,0.07709,
2-SYBR,EF1alpha,MO190_25dpe_91,,0.42742,-1.22628,0.27879,0.27879,,0.16096,0.16096,,,,,,,,,,,,,,,,,,,,,,3,17.04,0.95487,0.55129,
10-SYBR,EF1alpha,MO190_35dpe_2678,,0.68985,-0.53565,0.09213,0.09213,,0.05319,0.05319,,,,,,,,,,,,,,,,,,,,,,3,16.33,0.19550,0.11287,
2-SYBR,EF1alpha,MO190_male_96,,0.51024,-0.97074,0.21080,0.21080,,0.12171,0.12171,,,,,,,,,,,,,,,,,,,,,,3,16.78,0.60481,0.34919,
4-SYBR,GST1,BA84_14dpe_101,,0.24997,-2.00019,0.06721,0.06721,,0.03880,0.03880,,,,,,,,,,,,,,,,,,,,,,3,20.42,0.40416,0.23334,
4-SYBR,GST1,BA84_14dpe_102,,0.28689,-1.80143,0.14620,0.14620,,0.08441,0.08441,,,,,,,,,,,,,,,,,,,,,,3,20.21,0.76600,0.44225,
4-SYBR,GST1,BA84_14dpe_106,,0.37580,-1.41198,0.16919,0.16919,,0.09768,0.09768,,,,,,,,,,,,,,,,,,,,,,3,19.80,0.67676,0.39073,
4-SYBR,GST1,BA84_14dpe_107,,0.36209,-1.46560,0.18597,0.18597,,0.10737,0.10737,,,,,,,,,,,,,,,,,,,,,,3,19.86,0.77204,0.44574,
3-SYBR,GST1,BA84_14dpe_108,,0.40941,-1.28837,0.21925,0.21925,,0.12659,0.12659,,,,,,,,,,,,,,,,,,,,,,3,19.67,0.80499,0.46476,
