"File","waveforms","time"
"St19_1-ch3_BRA20male.converted.ANA",7,20899.31
"St19_1-ch3_BRA20male.converted.ANA",11,20923.06
"St19_1-ch3_BRA20male.converted.ANA",7,20927.97
"St19_1-ch3_BRA20male.converted.ANA",11,20968.76
"St19_1-ch3_BRA20male.converted.ANA",7,20975.21
"St19_1-ch3_BRA20male.converted.ANA",11,21050.97
"St19_1-ch3_BRA20male.converted.ANA",7,21062.26
"St19_1-ch3_BRA20male.converted.ANA",11,21102.1
"St19_1-ch3_BRA20male.converted.ANA",7,21114.39
"St19_1-ch3_BRA20male.converted.ANA",11,21130.33
"St19_1-ch3_BRA20male.converted.ANA",7,21149.72
"St19_1-ch3_BRA20male.converted.ANA",2,21169.08
"St19_1-ch3_BRA20male.converted.ANA",7,21326.44
"St19_1-ch3_BRA20male.converted.ANA",2,21379.14
"St19_1-ch3_BRA20male.converted.ANA",7,21564.03
"St19_1-ch3_BRA20male.converted.ANA",11,21585.28
"St19_1-ch3_BRA20male.converted.ANA",1,21589.27
"St19_1-ch3_BRA20male.converted.ANA",2,21732.18
"St19_1-ch3_BRA20male.converted.ANA",7,22160.07
"St19_1-ch3_BRA20male.converted.ANA",11,22182.65
"St19_1-ch3_BRA20male.converted.ANA",7,22190.12
"St19_1-ch3_BRA20male.converted.ANA",11,22233.64
"St19_1-ch3_BRA20male.converted.ANA",7,22245.91
"St19_1-ch3_BRA20male.converted.ANA",11,22286.42
"St19_1-ch3_BRA20male.converted.ANA",7,22300.5
"St19_1-ch3_BRA20male.converted.ANA",2,22327.02
"St19_1-ch3_BRA20male.converted.ANA",7,22357.17
"St19_1-ch3_BRA20male.converted.ANA",2,22390.6
"St19_1-ch3_BRA20male.converted.ANA",7,22412.97
"St19_1-ch3_BRA20male.converted.ANA",2,22435.43
"St19_1-ch3_BRA20male.converted.ANA",7,22876.77
"St19_1-ch3_BRA20male.converted.ANA",11,22896.06
